"医 療 機 関 名 称","医療機関所在地",""電話番号","開設者氏名","管理者氏名","備　考"
"薬局トモズ　ＥＱＵＩＡ曳舟店","〒131－0032 墨田区東向島二丁目２６番６号","03-6661-8655","株式会社　トモズ　代表取締役　德廣　英之","前戸　彩美","薬局現存"
"薬局はなファーマシー曳舟","〒131－0046 墨田区京島一丁目２番２－Ｆ１０４号　イーストコア曳舟商業館１階","03-6657-2112","株式会社　はなファーマシー曳舟　代表取締役　渡邊　岳人","小田野　高士","薬局現存"
"ベイ薬局　本所店","〒130－0004 墨田区本所四丁目１４番５号","03-6240-4976","株式会社　トモズ　代表取締役　德廣　英之","宮野　志乃","薬局現存"
"ベイ薬局　押上店","〒131－0045 墨田区押上一丁目１１番４号　レガーレ伊勢元１階","03-5809-7727","株式会社　トモズ　代表取締役　德廣　英之","甲斐　亮磨","薬局現存"
"薬局トモズ　向島店","〒131－0041 墨田区八広一丁目７番１号","03-6231-9523","株式会社　トモズ　代表取締役　德廣　英之","社本　淳也","薬局現存"
"しんせい薬局　立花","〒131－0043 墨田区立花六丁目１番１５号","03-3618-8009","株式会社　キートス　代表取締役　森　忠史","吉田　拓也","薬局現存"
"スギ薬局　江東橋南店","〒130－0022 墨田区江東橋五丁目５番３号　江東橋ＮＫビル２階","03-6659-4022","株式会社　スギ薬局　代表取締役　原　栄一","脇田　理恵","薬局現存"
"スズラン薬局　向島店","〒131－0033 墨田区向島三丁目３３番１５号","03-5637-9688","熊本ファーマシー　株式会社　代表取締役　中村　清誉","矢部　茂晴","薬局現存"
"ぱぱす薬局　西五反田店","〒141－0031 品川区西五反田三丁目１０番１２号　ＴＦＸ五反田ビル１階","03-5719-4193","株式会社　ぱぱす　代表取締役　根津　孝一","藤平　和之","薬局現存"
"外山薬局","〒136－0073 江東区北砂二丁目１番２０号","03-3644-6457","有限会社　外山薬局　外山　和宏","土屋　陸","薬局現存"
"株式会社　柳屋薬局","〒136－0073 江東区北砂三丁目３５番２１号","03-3644-7171","株式会社　柳屋薬局　高橋　秀徳","高橋　秀徳","薬局現存"
"斉藤薬局","〒135－0016 江東区東陽三丁目５番６号","03-3647-8600","株式会社　斉藤薬局　代表取締役　勝山　俊和","勝山　俊和","薬局現存"
"丹生堂薬局本店","〒136－0076 江東区南砂五丁目３番５号","03-3644-6363","丹沢　珪子","丹沢　珪子","薬局現存"
"大栄薬局","〒135－0048 江東区門前仲町二丁目６番４号","03-3643-3501","株式会社　大栄薬品　代表取締役　杉山　佳代子","杉山　佳代子","薬局現存"
"有限会社　枝川薬局","〒135－0051 江東区枝川一丁目６番１２号","03-3649-1193","有限会社　枝川薬局　代表取締役　徳川　恵子","田中　孝","薬局現存"
"仁生堂薬局","〒136－0073 江東区北砂五丁目１５番６号","03-3699-1193","有限会社　仁生堂　代表取締役　馬場　きく子","神田　眞由美","薬局現存"
"松田薬局","〒136－0072 江東区大島八丁目５番２号","03-3681-9984","有限会社　松田薬局　代表取締役　松田　祐一","松田　淳子","薬局現存"
"小島薬局","〒135－0024 江東区清澄三丁目３番３０号","03-3641-7283","小島　道子","小島　道子","薬局現存"
"十二調剤薬局","〒136－0071 江東区亀戸二丁目４３番２号","03-3681-2854","有限会社　十二調剤薬局　代表取締役　林　大樹","森野　悦郎","薬局現存"
"タツミ薬局","〒135－0053 江東区辰巳一丁目９番５１号","03-3521-1155","有限会社　タツミ薬局　代表取締役　田中　洋二","田中　洋二","薬局現存"
"斉藤薬局","〒136－0072 江東区大島七丁目１１番１号","03-3681-9560","有限会社　ハルキ　代表取締役　齊藤　睿","齊藤　あい子","薬局現存"
"沢真薬局","〒135－0061 江東区豊洲五丁目２番１０号　沢真ビル１階","03-3531-2281","有限会社　沢真　代表取締役　澤井　真智子","澤井　真知子","薬局現存"
"伊原薬局","〒135－0024 江東区清澄三丁目７番６号","03-3641-5828","有限会社　伊原薬局　取締役社長　伊原　隆正","伊原　隆正","薬局現存"
"南砂ライフ薬局","〒136－0076 江東区南砂六丁目１番２号　春木マンション１０４","03-3699-8023","株式会社　ライフ　代表取締役　中村　哲夫","横山　淳子","薬局現存"
"ヒロ薬局","〒135－0013 江東区千田６番１４号　西尾ビル１階","03-3649-0170","有限会社　ヒロ薬品　代表取締役社長　古谷　良子","高橋　寛","薬局現存"
"平田調剤薬局","〒136－0072 江東区大島七丁目３６番４号","03-3683-9863","平田　陽一","平田　陽一","薬局現存"
"ダイカツ薬局","〒136－0076 江東区南砂三丁目５番９号","03-3644-6052","株式会社　ダイカツ薬局　代表取締役　宍戸　吉浩","宍戸　吉浩","薬局現存"
"とまと薬局","〒136－0072 江東区大島六丁目９番１１号　メゾンササキ１階","03-3681-7195","株式会社　フォーラル　代表取締役　松村　達","山崎　映理香","薬局現存"
"秋山調剤薬局","〒135－0048 江東区門前仲町一丁目２０番３号　東京建設自労会館４階","03-3641-3246","有限会社　秋山調剤薬局　代表取締役　秋山　茂","菅原　詩織","薬局現存"
"枝川薬局支店","〒136－0073 江東区北砂四丁目４０番１３号","03-3648-9301","有限会社　枝川薬局　代表取締役　徳川　恵子","徳川　典子","薬局現存"
"みつこし薬局","〒135－0001 江東区毛利一丁目１番１号","03-3846-8151","有限会社　みつこし薬局　代表取締役　山下　正一","長尾　美和","薬局現存"
"みよし薬局","〒135－0022 江東区三好二丁目８番１０号","03-3630-8620","有限会社　山吉　代表取締役　山下　正一","永井　由紀子","薬局現存"
"大島薬局","〒136－0072 江東区大島二丁目３７番９号　日神パレステージ２０３号","03-5609-2009","有限会社　大島薬局　代表取締役　山下　正一","岸下　亜紀子","薬局現存"
"地球堂薬局","〒136－0074 江東区東砂五丁目１番１２号","03-3644-2926","株式会社　地球堂　代表取締役　古川　敦","古川　洋子","薬局現存"
"かちどき薬局　砂町店","〒136－0076 江東区南砂一丁目２５番１３号　石塚ビル１階・２階","03-5683-4891","かちどき薬品　株式会社　代表取締役　町田　剛","櫻庭　裕子","薬局現存"
"原田薬局","〒136－0073 江東区北砂三丁目１４番２０号","03-3645-8136","有限会社　原田薬局　代表取締役　林　洋平","舘又　渚彩","薬局現存"
"マリー薬局","〒136－0074 江東区東砂四丁目１５番１０号","03-3699-9311","株式会社　マリー　山下　厚子","山下　厚子","薬局現存"
"平成薬局","〒136－0074 江東区東砂八丁目８番５号　リバーサイド・テラス１０１号室","03-5632-8577","有限会社　平成調剤薬局　代表取締役　石川　隆章","田畑　真美","薬局現存"
"杏林堂薬局","〒135－0016 江東区東陽二丁目４番２６号","03-3645-1017","株式会社　医薬業システム　代表取締役　寺田　有太郎","木下　美佳","薬局現存"
"サルエ薬局","〒135－0003 江東区猿江二丁目５番４号","03-3846-1288","有限会社　水津ファーマシー　代表取締役　水津　剛","水津　崇","薬局現存"
"わかば薬局","〒136－0071 江東区亀戸四丁目１８番１１号　土肥ハイム１０１","03-5626-0088","小林　正和","髙野　志津子","薬局現存"
"あおい薬局","〒136－0074 江東区東砂七丁目９番１０号　吉野ビル１階","03-3615-1212","小林　正和","山本　智子","薬局現存"
"さいとう薬局　みなみ店","〒135－0016 江東区東陽三丁目２番１０号　関口ビル１階","03-5632-1341","株式会社　斉藤薬局　代表取締役　勝山　俊和","京極　起巳子","薬局現存"
"ほうゆう薬局","〒136－0072 江東区大島四丁目８番１６号","03-3681-4748","有限会社　朋雄　取締役　平田　雅彦","平田　雅彦","薬局現存"
"薬局ワンザファーマシー","〒135－0063 江東区有明３丁目６番１１号　東京ファッションタウンビル東館２階","03-5530-5665","株式会社　アイ・エム・エス・ファーマシー　代表取締役　縄手　伸之","縄手　伸之","薬局現存"
"イースト２１調剤薬局","〒135－0016 江東区東陽六丁目３番２号　イースト２１モール２０３Ａ","03-5632-3667","株式会社　オフィス・タニグチ　代表取締役　谷口　淳二","今城　雅俊","薬局現存"
"三一薬局","〒136－0072 江東区大島三丁目１４番１２号　コーポ石田１階","03-3637-4095","有限会社　三一調剤薬局　代表取締役　林　一樹","鈴木　基六","薬局現存"
"高橋薬局　ファミロード店","〒135－0005 江東区高橋１４番２５号　ヒシヌマビル１階","03-5669-2205","有限会社　高橋薬局　取締役　髙橋　正夫","髙橋　正夫","薬局現存"
"五ノ橋薬局","〒136－0071 江東区亀戸一丁目２８番７号　　１階","03-3684-2988","株式会社　コスモメディカル　代表取締役　富井　武敏","庄内　真","薬局現存"
"牡丹薬局","〒135－0046 江東区牡丹三丁目７番４号　サンドミール１階","03-3630-1223","有限会社　北方薬局　代表取締役　北方　謙次郎","北方　定子","薬局現存"
"なの花薬局　亀戸店","〒136－0071 江東区亀戸四丁目１８番４号　メディカルビル２階","03-5627-3068","株式会社　なの花東日本　代表取締役　遠山　功","富永　久美子","薬局現存"
"吉田薬局","〒136－0076 江東区南砂四丁目１５番２３号","03-3644-0419","株式会社　吉田　代表取締役　吉田　稔","吉田　稔","薬局現存"
"ニスモ薬局　南砂店","〒136－0076 江東区南砂七丁目１４番９号　ミコノス１０１","03-5677-3121","株式会社　清和メディカル　代表取締役　瀬田　成之","瀬田　あや","薬局現存"
"平田薬局　東大島店","〒136－0072 江東区大島九丁目５番１号　コアシティ東大島１０５","03-3681-2051","平田　陽一","平田　真也","薬局現存"
"あい薬局","〒136－0072 江東区大島五丁目５番５号","03-3683-7552","有限会社　あい　取締役　齋藤　麻美","齋藤　麻美","薬局現存"
"和光薬局　西大島店","〒136－0072 江東区大島一丁目３３番１５号　ネルフマスヤマビル１階","03-5626-3424","株式会社　和光　代表取締役　森田　和利","吉元　洋子","薬局現存"
"メディトピア江東薬局","〒136－0073 江東区北砂六丁目２７番１８号","03-3615-1171","株式会社　メディトピア　代表取締役　小井戸　英勝","齊藤　元","薬局現存"
